answer,category,"Which data type in Go can store a number?","Which data type in Go can store text?","What can we use to work with a hash table in Go?","How can we store multiple elements in Go?","What can be used as a key in a hash table in Go?","What can be passed to a function as an argument in Go?","Which mechanisms does Go have for error handling?"
time,programming,-8,-8,-8,-8,-8,-5,-8
time.Time,programming,-8,-8,-8,-8,5,7,-8
time.Duration,programming,3,-8,-8,-8,8,8,-8
time.Now,programming,-8,-8,-8,-8,-8,-5,-8
strings,programming,-8,-5,-8,-7,-8,-5,-8
pprof,programming,-8,-8,-8,-8,-8,-7,-8
let,programming,-8,-8,-8,-8,-8,-8,-8
function,programming,-8,-8,-8,-8,-8,-8,-8
class,programming,-8,-8,-8,-8,-8,-8,-8
extends,programming,-8,-8,-8,-8,-8,-8,-8
super,programming,-8,-8,-8,-8,-8,-8,-8
this,programming,-8,-8,-8,-8,-8,-8,-8
typeof,programming,-8,-8,-8,-8,-8,-8,-8
instanceof,programming,-8,-8,-8,-8,-8,-8,-8
void,programming,-8,-8,-8,-8,-8,-8,-8
yield,programming,-8,-8,-8,-8,-8,-8,-8
async,programming,-8,-8,-8,-8,-8,-8,-8
await,programming,-8,-8,-8,-8,-8,-8,-8
try,programming,-8,-8,-8,-8,-8,-8,-8
catch,programming,-8,-8,-8,-8,-8,-8,-8
finally,programming,-8,-8,-8,-8,-8,-8,-8
throw,programming,-8,-8,-8,-8,-8,-8,-8
while,programming,-8,-8,-8,-8,-8,-8,-8
do,programming,-8,-8,-8,-8,-8,-8,-8
in,programming,-8,-8,-8,-8,-8,-8,-8
of,programming,-8,-8,-8,-8,-8,-8,-8
export,programming,-8,-8,-8,-8,-8,-8,-8
static,programming,-8,-8,-8,-8,-8,-8,-8
get,programming,-8,-8,-8,-8,-8,-8,-8
set,programming,-8,-8,-8,-8,-8,-8,-8
from,programming,-8,-8,-8,-8,-8,-8,-8
as,programming,-8,-8,-8,-8,-8,-8,-8
null,programming,-8,-8,-8,-8,-8,-8,-8
console.log,programming,-8,-8,-8,-8,-8,-8,-8
NaN,programming,-8,-8,-8,-8,-8,-8,-8
number,programming,-9,-8,-8,-8,-8,-8,-8
boolean,programming,-8,-8,-8,-8,-8,-8,-8
fetch,programming,-8,-8,-8,-8,-8,-8,-8
object,programming,-8,-7,-7,-6,-8,-8,-8
symbol,programming,-8,-8,-8,-8,-8,-8,-8
bigint,programming,-8,-8,-8,-8,-8,-8,-8
Infinity,programming,-8,-8,-8,-8,-8,-8,-8
prototype,programming,-8,-8,-8,-8,-8,-8,-8
undefined,programming,-8,-8,-8,-8,-8,-8,-8
with,programming,-8,-8,-8,-8,-8,-8,-8
debugger,programming,-8,-8,-8,-8,-8,-8,-8
Promise,programming,-8,-8,-8,-8,-8,-8,-8
append,programming,-7,-6,-7,5,-8,-7,-8
copy,programming,-8,-8,-8,-6,-8,-8,-8
len,programming,-7,-8,-7,-7,-8,-7,-8
cap,programming,-7,-8,-8,-8,-8,-8,-8
clear,programming,-8,-8,4,-7,-8,-8,-8
close,programming,-8,-8,-8,-8,-8,-8,-6
arena,programming,-8,-8,-8,-6,-8,-8,-8
heap.Interface,programming,-8,-8,-5,5,-8,-7,-8
list.List,programming,-8,-8,-6,6,-8,-7,-8
ring.Ring,programming,-8,-8,-7,5,-8,-7,-8
context.Context,programming,-8,-8,-8,-8,-8,7,4
embed,programming,-8,-6,-8,-7,-8,-8,-8
iter,programming,-8,-8,-8,-6,-8,-8,-8
log,programming,-8,-8,-8,-8,-8,-8,-5
strings.Builder,programming,-8,8,-8,-6,-8,6,-8
